以	a1olj1oljj4yljj4
短装	dtih1dtzh1
党团组织	dtii1dtzz1
等值	dtij1dtzj1
点头之交	dtij2dtzj2
等着	dtim1dtzm1
第宅	dtin1dtzn1
短暂	dtis1dtzs1
稻种	dtit1dtzt1
笃志	dtiu1dtzu1
笛子	dtiv1dtzv1
犊子	dtiv3*dtzv3*
等值线	dtix1dtzx1
短针	dtiy1dtzy1
第九	dtj2dtjw1
短距离	dtj3dtjl2
短剧	dtjb1
筜	dtjb2otjb1
敌机	dtjc1
等价格	dtjg1
等奖	dtjh1
等级制	dtji1dtjz1
掉头就走	dtji2*dtjz2*
等价	dtjj1
第九节	dtjj2
短剑	dtjj3*
短接	dtjk1
敌军	dtjl1
大堂经理	dtjl3
答卷	dtjm1
短见	dtjo1
敌舰	dtjq1
短简	dtjt1
敌境	dtju1
第几	dtjw2
等价物	dtjw3
短句	dtjw4*
等角	dtjw5*
等级	dtjx1
笛卡尔	dtke1
短裤	dtkl1
敌寇	dtkn1
稻壳	dtku1
簦	dtl1dtld1dtli3otld1
短路	dtl2dtli1
等离子	dtl3dtli2dtlz1
敌楼	dtlc1
顶天立地	dtld2
第六感	dtlg1
答理	dtlg2*
第六	dtlh1
等来	dtlh2*
第六节	dtlj1
动态链接库	dtlk1
答礼	dtll1
等量	dtlr1
登台亮相	dtlx1
稻	dtm1dtmr1otmr2
动态码长	dtmc1
短命	dtmj1
氮	dtmm1otmm12
稻米	dtmm2
箪	dtmo1otmo2
簖	dtmq1otmq1
笛膜	dtmv1
短脉	dtmv2*
对台贸易	dtmy1
迭	dtn1dtnn1otnn7
等你	dtnj1
笛	dto1dtod1otod16
动态平衡	dtph1
短跑	dtpi1
短平快	dtpk1
短评	dtpl1
短片	dtpr1
短篇	dtpt1
短期内	dtq1dtqn2dtu2dtun2
短枪	dtqc1dtuc1
短浅	dtqd1dtud1
短期	dtqf1dtuf1
第七章	dtqi1dtqz1dtui1
第七节	dtqj1dtuj1
等情况	dtqk1dtuk1
短裙	dtql1dtul1
敌酋	dtqm1dtum1
敌情	dtqn1dtun1
第七	dtqs1dtus1
短缺	dtqt1dtut1
氮气	dtqt2*dtut2*
迭起	dtqu1dtuu1
答腔	dtqv1dtuv1
氘	dtr1dtrr1otr5otrr2
笪	dtrd1otrd1
等若	dtre1
敌人	dtrj1
等人	dtrj2*
点头认可	dtrk1
登堂入室	dtrs1
篼	dtrw1otrw2
第三方	dts1dtsf2
短寿	dts2dtsg2*
短视	dts3dtsl2*
等死	dtsa1
多退少补	dtsb1
第三次	dtsc1
笃深	dtsd1
第十	dtsf1
等速	dtsf3*
第三	dtsg1
氮素	dtsg3*
第三者	dtsi1dtsz1
第三节	dtsj1
第四节	dtsj2
短时间	dtsj3
敌手	dtsk1
敌视	dtsl1
短诗	dtsl3*
等势面	dtsm1
答数	dtsm2
笃实	dtsn1
第四	dtso1
短视频	dtsp1
短时	dtsr1
等身	dtsr2*
等式	dtss1
顶头上司	dtss2
稻穗	dtst1
笛声	dtsu1
低头思故乡	dtsx1
等上	dtsy1
短叹	dtti1
短途	dttj1
答题卡	dttk1
敌探	dttk2*
敌台	dttl1
等同	dtto1
稻田	dtto2*
答题	dttr1
道听途说	dtts1
等她	dtts2*
敌特	dttt1
短腿	dttv1
等同于	dtty1
点头同意	dtty2*
氡	dtw1dtwn2*otwn1
等问题	dtw2dtwt2
等温	dtwd1
第五	dtwf1
短文	dtwh1
第五节	dtwj1
答问	dtwj2
敌伪	dtwj3
短袜	dtwl1
等温面	dtwm1
答完	dtwn1
等外品	dtwp1
敌我	dtwt1
等外	dtww1
等温线	dtwx1
笃	dtx1dtxd2*otxd1
等闲	dtx2dtxj2
短讯	dtx3dtxl2*
敌袭	dtxa1
短训班	dtxb1
答谢词	dtxc1
大体相当	dtxd1
等下	dtxf1
等效	dtxh1
短效	dtxh2*
短信	dtxj1
笃信	dtxj3
答谢	dtxl1
短袖	dtxl3*
短小	dtxp1
短须	dtxq1
稻香	dtxt1
短纤维	dtxw1
短线	dtxx1
短消息	dtxx2
短信息	dtxx3
短些	dtxy1
大同小异	dtxy2
敌意	dty1dtyh3*
短于	dty2dtyg3*
答允	dty3dtyl5*
等压	dtya1
敌友	dtya2
第一步	dtyb1
当头一棒	dtyb2
第一版	dtyb3
第一次	dtyc1
第一	dtyd1
等一等	dtyd2
等于	dtyg1
第一个	dtyg2
答应	dtyh1
等一会	dtyh2
答言	dtyh4*
第一种	dtyi1dtyz1
第一节	dtyj1
第一届	dtyj2
第一卷	dtyj3
短语	dtyl1
第一轮	dtyl2
等于零	dtyl3
第一流	dtyl4
第一名	dtym1
等压面	dtym2
第一年	dtyn1
答曰	dtyr1
第一人	dtyr2
第一手	dtys1
第一天	dtyt1
第一条	dtyt2
等腰	dtyv1
答疑	dtyw1
第一位	dtyw2
等一下	dtyx1
等压线	dtyx2
第一线	dtyx3
第一眼	dtyy1
地	du1duv1duvc1ouvc1
堵	du2duf1dufr1oufr4
垯	dua1duan1ouan1
堤岸	duao1
埭	dub1dubk1oubk1
地板革	dub2dubg2
地板砖	dub3dubi2dubz2
墩布	duba1
地磅	duba2*
地板	dubc1
地标	dubc2*
地表	dubg1
地堡	dubj1
地爆	dubm1
堤边	dubn1dubz3*
地不怕	dubp1
地表水	dubs1
堤坝	dubu1
地步	duby1
地产商	duc1ducs2
地磁	duca1
堆存	duca2*
地层	ducb1
地产	duch1
地仓	ducj1
堵车	ducs1
堆场	ducu1
地处	ducw1
地对地	dud1dudd2
地洞	dudd1
地带	dudf1
地动	dudg1
地底	dudh1
地道战	dudi1dudz1
地对空	dudk1
堆叠	dudl3
地道	dudm1
地段	dudr1
堵到	duds1
地带性	dudx1
地点	dudy1
塔	due1duej1ouej2tue1tuej1
堆放	duf2dufh2
地方话	duf3dufh3
地方病	dufb1
堞	dufc1oufc1
地方官	dufg1
地方	dufh1
地府	dufh4*
地方志	dufi1dufz1
地方军	dufj1
地方时	dufs1
地方税	dufs2
地方上	dufs3
堤防	dufv1
堆肥	dufv2*
地缝	dufx1
地方戏	dufx2
地方性	dufx3
地滚球	dug1dugq2dugu1
地高辛	dug2dugx2
地柜	dugc1
地沟	dugd1
地滚	dugd2*
地光	dugj1
地宫	dugn1
地骨皮	dugp1
地瓜	dugq1
墩	duh1duht1ouht1
地核	duhc1
地黄	duhf1
地会	duhj1
堆焊	duhm1
地中海	dui1duih2duz1duzh2
地主	dui2duih3*duz2duzh3*
地质局	dui3duij2duz3duzj2
地砖	duia1duza1
地震波	duib1duzb1
地质部	duib2duzb2
堆栈	duic1duzc1
地质队	duid1duzd1
地支	duif1duzf1
地震	duih1duzh1
堵嘴	duii1duzi1
堵住	duij1duzj1
地址栏	duil1duzl1
堆着	duim1duzm1
地质	duiq1duzq1
地轴	duis1duzs1
地租	duit1duzt1
地质图	duit2duzt2
地址	duiu1duzu1
墩子	duiv1duzv1
地质学	duix1duzx1
堆	duj1dujh1oujh2
地极	dujc1
地基	dujf1
堵截	dujf2*
堵击	dujg1
地价	dujj1
地精	dujm1
地窖	dujn1
地界	dujo1
地级市	dujs1
堆积	dujt1
地脚	dujv1
地级	dujx1
地矿	duka1
地矿部	dukb1
地跨	duki1
垛口	duki2*
地矿局	dukj1
地空	dukn1
地块	duku1
地理学	dul1dulx2
地龙	dula1
地漏	duld1
地理	dulg1
地雷	dulh1
㙍	dull1oull6
地牢	duln1
地力	duln2*dulz1
地里	dulo1
地蜡	dulo2*
地量	dulr2*
地利	dult1
地缆	dulx1
地面	duma1
堆满	dumd1
地面站	dumi1dumz1
堵门	dumj1
地貌	dumm1
地幔	dumo1
地面水	dums1
地膜	dumv1
地脉	dumv2*
地名	dumw1
地暖	dunr1
垌	duo1duod1duoi1ouod3ouoi1tuo1tuod1tuoi1
地痞	duph1
地平	duph2*
地平面	dupm1
地炮	dupm3*
地皮	dupn1dupz1
地盘	dupq1
地平线	dupx1
地铺	dupy1
地球村	duq1duqc2duu1duuc2
堆砌	duqa1duua1
地权	duqc1duuc1
地勤	duqf1duuf1
地球	duqg1duug1
地契	duqg2*duug2*
地球人	duqr1duur1
地区	duqs1duus1
地堑	duqs2*duus2*
地气	duqt1duut1
地壳	duqu1duuu1
堆起	duqu2*duuu2*
地区性	duqx1duux1
地球仪	duqy1duuy1
堤	dur1durf1ourf7
地热	durk1
地热能	durn1
塅	durw1ourw1
垤	dus1dusu1ousu2
地税局	dus2dusj2
堵死	dusa1
地市	dush1
地势	dusk1
地说	dusl1
堵塞	dusn1
地少	dusp1
地税	dust1
地煞	dusw1
地上	dusy1
地图册	dutc1
地铁站	duti1dutz1
地图集	dutj1
地摊	dutk1
地台	dutl1
地头	dutn1
地图	duto1
地头蛇	duts1
地毯	dutt1
地坛	dutu1
地铁	duty1
垛	duw1duwc2*ouwc2
地温	duwd1
地五会	duwh1
地位	duwj1
地委	duwt1
地物	duwt2*
地外	duww1
堵心	dux1duxl2*
地县	dux2duxo2
地穴	dux3duxn2*
地下党	duxd1
地下	duxf1
地形	duxg1
地窨子	duxi1duxz1duyi1duyz1
地县级	duxj1
地心	duxl1
地学	duxn1
地峡	duxo1
地形区	duxq1duxu1
地下室	duxs1
地下水	duxs2
堆笑	duxt1
地形图	duxt2
地下铁	duxt3
地陷	duxv1
地线	duxx1
地形雨	duxy1
坫	duy1duyi2*ouyi1
地榆	duyc1
地衣	duyh1
地窨	duyn1
地域	duyu1
堤堰	duyu2*
地狱	duyw1
地缘	duyx1
队	dv1dvj1dvjj1ovj1ovjj3
陡	dv2dvuy1ovuy1
陡壁	dvbb1
陡变	dvbh1
队部	dvbh2*
蛋白质	dvbi1dvbz1
蛋白酶	dvbm1
蛋白尿	dvbn1
蛋白	dvbr1
蛋饼	dvbw1
蛋炒饭	dvcf1
胆大	dvda1
胆道	dvdm1
肚兜	dvdr1
胆矾	dvfa1
队服	dvfv1
胆敢	dvgb1
胆固醇	dvgc1
队歌	dvgf1
蛋糕	dvgm1
胆管	dvgt1
膻	dvh1dvho1dvhr1ovho2ovhr5svh2svho2svhr1
蛋黄	dvhf1
蛋黄果	dvhg1
队会	dvhj1
队徽	dvhk1
胆寒	dvhn1
胆红素	dvhs1
胆汁	dvid1dvzd1
陡直	dvif1dvzf1
胆颤	dvih1dvzh1
肚子里	dvil1dvzl1
膻中	dvio1dvzo1
队中	dvio2dvzo2
肚中	dvio3*dvzo3*
蛋制品	dvip1dvzp1
队长	dvit1dvzt1
陡增	dviu1dvzu1
肚子	dviv1dvzv1
胆子	dviv2*dvzv2*
胆战	dviy1dvzy1
胆碱	dvja1
蛋鸡	dvjl1
蛋卷	dvjm1
陡峻	dvjo1
胆结石	dvjs1
陡急	dvjw1
胆经	dvjx1
陡坎	dvk1dvku2*
蛋壳	dvku1
肚里	dvl1dvlo2*
队列	dvla1
堕落	dvle1
队礼	dvll1
蛋类	dvlm1
胆略	dvlo1
队里	dvlo3*
胆量	dvlr1
肚量	dvlr2*
䏲	dvm1dvmb1ovmb2
堕马	dvmx1
腚	dvn1dvnf2*ovnf3
胆囊	dvnf1
肚腩	dvnv1
胆囊炎	dvny1
蛋	dvo1dvok1ovok13
胴	dvod1dvoi1ovod5ovoi6
胆瓶	dvpm1
肚皮	dvpn1dvpz1
胆魄	dvpr1
陡坡	dvpu1
肚皮舞	dvpw1
蛋清	dvqd1dvud1
队旗	dvqh1dvuh1
胆怯	dvqn1dvun1
陡峭	dvqo1dvuo1
胆气	dvqt1dvut1
肚脐	dvqv1dvuv1
胆	dvr1dvrd1ovrd4
疍	dvrd2ovrd2
堕入	dvrm1
陡然	dvrv1dvrw1
胨	dvs1dvsk1ovsk3
胆石	dvsa1
胆酸	dvsf1
胆识	dvsl1
陡升	dvst1
胆色	dvsw1
蛋疼	dvth1
肚痛	dvth2*
胴体	dvtj1
蛋挞	dvtk1
堕胎	dvtv1
肚	dvu1dvuu2*opu2ovuu11
堕	dvuu1ovu7ovuu8
队尾	dvwb1
队伍	dvwj1
胆小鬼	dvx1dvxg2
胆系	dvxe1dvxw1
队形	dvxg1
胆小	dvxp1
胆星	dvxr1
胆虚	dvxy1
阽	dvy1dvyi2*ovyi1yvy3yvyi2*
队友	dvya1
队员	dvyi1
陡崖	dvyo1
队医	dvys1
多	dw1dwwk2*owwk14
岛	dw2dwoi1owoi8
冬奥会	dwah1
独爱	dwam1
冬奥	dwar1
独霸	dwb1dwbh2*
多倍体	dwb2dwbt2
多巴胺	dwba1
独臂	dwbb1
多不多	dwbd1
多变	dwbh1
多病	dwbh3*
多倍	dwbj1
多遍	dwbl1
多半	dwbm1
多边	dwbn1dwbz1
独白	dwbr1
雕版	dwbr2*
大为不同	dwbt1
丹巴	dwbv1
多边形	dwbx1
丹巴县	dwbx2
独步	dwby1
朵	dwc1dwcc2*owc12owcc8
多才	dwc2dwcf2*
独裁者	dwc3dwci2dwcz1
剁成	dwca1
雕成	dwca2*
多层	dwcb1
多层次	dwcc1
冬藏	dwce1
独裁	dwcf1
多刺	dwcf3*
冬春	dwcg1
多次	dwch1
多产	dwch2*
独唱	dwci1
独创	dwcj1
独闯	dwcj2*
对外出口	dwck1
多彩	dwcm1
多差	dwcm2*
多穿	dwcn1
雕虫	dwco1
多长	dwct1
多重	dwct2*dwit2*dwzt2*
岛城	dwcu1
丹墀	dwcu2
多出	dwcv1
独处	dwcw1
多处	dwcw2*
多舛	dwcw3*
独创性	dwcx1
多餐	dwcy1
丹	dwd1dwdd3*owd4owdd9
独到	dwd2dwds2
多得多	dwd3dwdd2
多达	dwda1
多大	dwda2*
独栋	dwdc1
鸟	dwdd1nw1nwd1nwdd1owd5owdd5
丹毒	dwdg1
多端	dwdh1
丹顶鹤	dwdh2
多动症	dwdi1dwdz1
多党制	dwdi2dwdz2
多党	dwdj1
独得	dwdk1
多打	dwdk2*
独往独来	dwdl1
狄德罗	dwdl2
多读	dwdl3*
独断	dwdm1
独斗	dwdn1
多的	dwdr1
丹东	dwds1
丹东市	dwds3
多短	dwdt1
多地	dwdu1
多多	dwdw1
朵朵	dwdw2*
独独	dwdw3*
多点	dwdy1
多尔衮	dweg1
达斡尔族	dwei1dwez1
狄尔泰	dwet1
多尔	dwew1
朵儿	dwew2*
对我而言	dwey1
鲽	dwf1dwfc2*owfc1
丹凤	dwf2dwfw2*
多发病	dwfb1
丹枫	dwfc1
独夫	dwfg1
多方	dwfh1
单位犯罪	dwfi1dwfz2
丹佛	dwfj1
多福	dwfl1
多方面	dwfm1
多分	dwfm2*
多发	dwfn1dwfz1
多幅	dwfo1
多发期	dwfq1dwfu1
单位负责人	dwfr1
冬防	dwfv1
多方位	dwfw1
冬风	dwfw3*
多发性	dwfx1
丹凤县	dwfx2
丹凤眼	dwfy1
多功能	dwg1dwgn2
狄更斯	dwg2dwgs2
对外公布	dwgb1
丹桂	dwgc1
冬菇	dwge1
多过	dwgf1
多哥	dwgf2*
冬耕	dwgg1
大为改观	dwgg2
多高	dwgh1
大为光火	dwgh2
党务工作	dwgi1dwgz1
多个	dwgj1
多寡	dwgn1
岛国	dwgo1
多国	dwgo2*
冬瓜皮	dwgp1
冬瓜	dwgq1
冬瓜仁	dwgr1
多轨	dwgs1
多管	dwgt1
独孤	dwgv1
对外关系	dwgx1
多给	dwgx2*
多厚	dwha1
岛弧	dwhb1
独活	dwhd1
雕花	dwhe1
地位很高	dwhg1
多哈	dwhi1
多会	dwhj1
多话	dwhl1
多画面	dwhm1
冬寒	dwhn1
多好	dwhs1
多好听	dwht1
多好玩	dwhw1
丹红	dwhx1
多汁	dwi1dwid1dwz1dwzd3*
多姿	dwi2dwih2*dwz2dwzh2*
冬至点	dwi3dwid3dwz3dwzd2
多在	dwia1dwza1
多张	dwib1dwzb1
对外政策	dwic1dwzc1
弹丸之地	dwid2dwzd1
动物脂肪	dwif1dwzf1
雕琢	dwig1dwzg1
独奏	dwig2*dwzg2*
独资	dwih1dwzh1
冬装	dwih3*dwzh3*
多嘴	dwii1dwzi1
当务之急	dwij1dwzj1
多做	dwij2*dwzj2*
大为震惊	dwij3*dwzj3*
多指	dwik1dwzk1
多挣	dwik2*dwzk2*
独尊	dwim1dwzm1
多宗	dwin1dwzn1
多字	dwin2*dwzn2*
丹寨	dwin3dwzn3
多则	dwio1dwzo1
多赚	dwio2*dwzo2*
多助	dwio3*dwzo3*
单位招聘	dwip1dwzp1
东乌珠穆沁旗	dwiq1dwzu3
独自	dwir1dwzr1
冬至	dwis1dwzs1
多种	dwit1dwzt1
雕凿	dwiu1dwzu1
多走	dwiu2*dwzu2*
独子	dwiv1dwzv1
多子	dwiv2*dwzv2*
多组	dwix1dwzx1
丹寨县	dwix2dwzx2
独占	dwiy1dwzy1
独钟	dwiy2*dwzy2*
雕	dwj1dwjh2*owjh7
多间	dwj2dwjj2*
多家	dwj3dwjn2*
岛礁	dwja1
独居	dwjb1
多极	dwjc1
多角度	dwjd1
冬节	dwje1
冬季风	dwjf1
多聚	dwjf2*
多极化	dwjh1
对外经济	dwjj1
多件	dwjj3*
丹江口	dwjk1
多讲	dwjl1
读万卷书，行万里路	dwjl2
对外经贸	dwjm1
独家	dwjn1
多加	dwjn3*dwjz1
独具	dwjo1
多见	dwjo2*
多斤	dwjq1
冬景	dwjr1
多娇	dwjs1
队伍建设	dwjs2
冬季	dwjt1
多久	dwjw1
独角	dwjw2*
独角戏	dwjx1
多级	dwjx2*
多缴	dwjx3*
帝王将相	dwjx4*
多见于	dwjy1
等位基因	dwjy2*
氐	dwk1dwkk1owk6owkk5
对外开放	dwkf1
多亏	dwkg1
雕刻	dwkh1
多口	dwki1
雕刻家	dwkj1
多空	dwkn1
多科	dwkt1
多款	dwku1
多孔	dwkv1
冬令营	dwl1dwly2
多棱镜	dwl2dwlj2
独立日	dwl3dwlr2
雕龙	dwla1
独轮车	dwlc1
丹棱	dwlc2
多伦多	dwld1
党委领导	dwld2*
多聊	dwlf1
独立国	dwlg1
独立	dwlh1
独龙族	dwli1dwlz2
多例	dwlj1
多伦	dwlj3
独揽	dwlk1
对外联络	dwll1
多礼	dwll2*
冬炼	dwlm1
独力	dwln1dwlz1
多累	dwlo1
多量	dwlr1
独轮	dwls1
对我来说	dwls2
多辆	dwls3*
独联体	dwlt1
独立团	dwlt2
多了	dwlv1
独立性	dwlx1
多练	dwlx2*
多伦县	dwlx3
丹棱县	dwlx4
多虑	dwly1
岛链	dwly3*
雕镂	dwly4*
狄	dwm1dwmm2*owmm14
多民族	dwm2dwmi2dwmz2
独幕剧	dwm3dwmj2
多面	dwma1
多枚	dwmc1
多梦	dwmc2*
敌我矛盾	dwmd1
多么	dwme1dwmw1
独苗	dwme2*
对外贸易法	dwmf1
多卖	dwmf2*
丹麦	dwmg1
冬麦	dwmg2*
多麽	dwmh1
独木舟	dwmi1dwmz1
独门	dwmj1
单位面积	dwmj3
多谋	dwml1
多美	dwmm1
多米诺	dwmn1
冬眠	dwmo1
独木桥	dwmq1dwmu1
多面手	dwms1
多媒体	dwmt1
多面体	dwmt2
多名	dwmw2*
对外贸易	dwmy1
冬	dwn1dwnn1own1ownn18
多年后	dwn2dwnh2
多难	dwn3dwnl2*
丹尼	dwnb1
多尿	dwnb2*
丹尼尔	dwne1
多瑙	dwng1
多瑙河	dwnh1
大为恼火	dwnh3*
多拿	dwnj1
多年来	dwnl1
多能	dwnl3*
鱽	dwnn2dwzz1own4owne3ownn22owz3owze3owzz4
岛内	dwno1
多年前	dwnq1dwnu1
多年生	dwns1
丹尼斯	dwns2
独女	dwns3*
多年	dwnt1
独	dwo1dwok1owok8
甸	dwod1owod16
多屏	dwpb1
单位批准	dwpi1dwpz1
多批	dwpk1
多普勒	dwpl1
丹皮	dwpn1dwpz2*
多篇	dwpt1
多强	dwqb1dwub1
玷污清白	dwqb2dwub2
多渠道	dwqd1dwud1
丹青	dwqg1dwug1
冬青	dwqg2*dwug2*
多情	dwqn1dwun1
多妻	dwqs1dwus1
独缺	dwqt1dwut1
多起	dwqu1dwuu1
狄仁杰	dwr1dwrj2
多人	dwrj1
多肉	dwro1
剁肉	dwro2*
冬日	dwrr1
多日	dwrr2*
多如	dwrs1
党外人士	dwrs2
多任务	dwrw1
雕塑	dws1dwsm2
多时	dws2dwsr5*
独生	dws3dwst2
丹砂	dwsa1
剁碎	dwsa2*
独树	dwsc1
多声道	dwsd1
多事	dwsf1
多少个	dwsg1
独生子	dwsi1dwsz1
独山子	dwsi2dwsz2
党委书记	dwsj1
多食	dwsj2*
多说	dwsl1
丹参	dwsl2*
多数	dwsm1
独守	dwsn1
独生女	dwsn2
多岁	dwso1
独山	dwso2
多少	dwsp1
多所	dwsq1
多少钱	dwsq2dwsu1
睹物伤情	dwsq3dwsu2
独身	dwsr1
睹物思人	dwsr2
多数人	dwsr3
多少人	dwsr4
冬笋	dwst1
多收	dwsv1
雕饰	dwsw1
丹书	dwsx1
独山县	dwsx2
岛上	dwsy1
独山玉	dwsy2
动物实验	dwsy3
多态	dwta1
冬天	dwtg1
独吞	dwtg2*
独体字	dwti1dwtz1
对外投资	dwti2*dwtz2*
多听	dwti3*
独体	dwtj1
多提	dwtk1
多台	dwtl1
多谈	dwtl2*
多糖	dwtm1
多头	dwtn1
丹田	dwto1
的问题是	dwts1
独特	dwtt1
多肽	dwtv1
多条	dwtw1
独特性	dwtx1
剁	dwu1dwuu2*owu5owuu10
邸	dwv1dwvv1owv14owvv16
饳	dwvi1owvi1
鲷	dww1dwwu1owwu2
多位	dwwj1
多闻	dwwj2*
独往	dwwk1
多为	dwwm1
多万	dwws1
独舞	dwwt1
多维	dwwx1
多万元	dwwy1
丹霞	dwx1dwxh2*
丹心	dwx2dwxl2*
多线程	dwx3dwxc2
冬夏	dwxa1
多想	dwxc1
冬汛	dwxd1
多项	dwxf1
弹无虚发	dwxf2
独享	dwxh1
冬雪	dwxh3*
雕像	dwxj1
冬闲	dwxj2*
地位下降	dwxj3*
独行	dwxk1
多学科	dwxk2
多谢	dwxl1
冬训	dwxl3*
多心	dwxl4*
冬小麦	dwxm1
多小	dwxp1
多向	dwxr1
多项式	dwxs1
多选	dwxt1
多选题	dwxt2
多些	dwxy1
冬夜	dwy1dwyh4*
多元	dwy2dwyg2*
多于	dwy3dwyg3*
独有	dwya1
多有	dwya2*
多已	dwyb1
多样	dwyc1
冬泳	dwyd1
丹药	dwye1
多雨	dwyf1
冬雨	dwyf2*
朵颐	dwyf3*
多云	dwyg1
多远	dwyg4*
多元化	dwyh1
多样化	dwyh2
多用户	dwyh3
多音字	dwyi1dwyz1
对外援助	dwyi2*dwyz2*
多余	dwyj1
多元论	dwyl1
独眼龙	dwyl2
多义	dwym1
岛屿	dwyo1
独眼	dwyo2*
丹阳市	dwys1
冬月	dwyv1
独院	dwyv2*
丹阳	dwyv3*
多疑	dwyw1
多样性	dwyx1
缔	dx1dxh1dxho1oxho10
缎	dx2dxr1dxrw1oxrw1
驮	dxa1dxak1oxak7tx2txa1txak2*
大兴安岭	dxal1
多行不义必自毙	dxbb1
大雄宝殿	dxbd1
大小不等	dxbd2
笃行不怠	dxbd3
打小报告	dxbg1
大学本科	dxbk1
大卸八块	dxbk2
定向爆破	dxbp1
大学毕业	dxby1
大小不一	dxby2
东西伯利亚	dxby3
大小尺寸	dxcc1
定性处理	dxcl1
大学出版社	dxcs1
大喜大悲	dxdb1
缎带	dxdf1
低息贷款	dxdk1
大雪纷飞	dxff1
断线风筝	dxfi1dxfz1
定性分析	dxfx1
低吸高抛	dxgp1
电信公司	dxgs1
大喜过望	dxgw1
旦夕祸福	dxhf1
缔合	dxhj1
担心害怕	dxhp1
等闲之辈	dxib1dxzb1
缔造出	dxic1dxzc1
缔造者	dxii1dxzz1
到现在为止	dxii2dxzz2
缔造	dxit1dxzt1
缎子	dxiv1dxzv1
东乡族自治县	dxix1dxzx1
大型检查	dxjc1
短小精悍	dxjh1
缔交	dxjh2*
妒贤嫉能	dxjn1
大相径庭	dxjt1
缔结	dxjx1
大型集装箱	dxjx2
大学教育	dxjy1
大学课程	dxkc1
大学考试	dxks1
大学课堂	dxkt1
骀	dxl1dxli2*oxli6txl1txli2*
绐	dxli1oxli1
倒吸了一口冷气	dxlq1dxlu1
刀下留人	dxlr1
大学老师	dxls1
绨	dxm1dxmb1dxme1oxmb1oxme2txm1txmb1txme1
缔盟	dxmr1
东西南北	dxnb1
东西南北中	dxni1dxnz1
倒行逆施	dxns1
邓小平理论	dxpl1
胆小怕事	dxps1
定向培养	dxpy1
大行其道	dxqd1dxud1
独行其是	dxqs1dxus1
惰性气体	dxqt1dxut1
大型企业	dxqy1dxuy1
地狭人稠	dxrc1
胆小如鼠	dxrs1
动心忍性	dxrx1
绖	dxs1dxsu1oxsu2
单向收费	dxsf1
大学时光	dxsg1
等闲视之	dxsi1dxsz1
打小算盘	dxsp1
大显身手	dxss1
大显神通	dxst1
地下水位	dxsw1
缍	dxt1dxtd2*oxtd2
窦性停搏	dxtb1
地下通道	dxtd1
地下铁路	dxtl1
大兴土木	dxtm1
东西厢房	dxxf1
窦性心律	dxxl1
大型项目	dxxm1
倒屣相迎	dxxy1
缔约国	dxy1dxyg1
缔约方	dxyf1
丹心玉壶	dxyh1
地心引力	dxyl1
倒吸一口冷气	dxyq1dxyu1
得心应手	dxys1
缔约	dxyx1
点	dy1dymm1*oymm1
点儿	dy2dyew1
点按	dyak1
大洋彼岸	dyba1
大言不惭	dybc1
东亚病夫	dybf1
大英博物馆	dybg1
钉耙	dybg2*dypg1
点播	dybk1
大宴宾客	dybk2
点拨	dybk3*
倒也罢了	dybl1
点半	dybm1
督办	dybn1dybz1
点兵	dybr1
大有裨益	dyby1
点背	dyby2*
点钞机	dyc1dycj2
镀层	dycb1
断垣残壁	dycb2
督查	dycc1
点菜	dyce1
第一次世界大战	dyci1dycz1
电源插座	dyci2dycz2
督促	dycj1
督察	dycn1
点乘	dyct1
点出	dycv1
点餐	dycy1
第一产业	dycy2
点钞	dycy3*
点对点	dyd1dydd2
大摇大摆	dydb1
督导	dydb2*
点档	dydc1
点滴	dydd1
大英帝国	dydg1
动员大会	dydh1
锻打	dydk1
抵押贷款	dydk2
点灯	dydm1
点定	dydn1
钝刀	dydn2*dydz1
东亚地区	dydq1dydu2
大鱼大肉	dydr1
点到	dyds1
东印度公司	dyds2
点点头	dydt1
点地	dydu1
点多	dydw1
点点	dydy1
大眼瞪小眼	dydy2
铤	dye1dyel1dytl1oyel3oytl4tye1tyel1tyt1tytl1
铥	dyeu1oyeu3oytl1
钓饵	dyew2*
钉	dyf1dyff1oyf3oyff11
打预防针	dyfi1dyfz2
督抚	dyfk1
点发	dyfn1dyfz1
第一夫人	dyfr1
党员干部	dygb1
点歌	dygf1
督工	dygf2*
第一感觉	dygj1
钓竿	dygt1
镀	dyh1dyhl1oyhf9oyhl6
钝化	dyh2dyhj2*
点焊	dyh3dyhm2*
点画	dyhd1
等一会儿	dyhe1
镝	dyhf1dyhi1dyho1oyhf2
点化	dyhj1
点火	dyhm1
点火器	dyhq1dyhu1
点好	dyhs1
镦	dyht1oyht2
铞	dyi1dyio1oyio1
锻造	dyi2dyit3*dyz1dyzt3*
点阵	dyi3dyiv2*dyz2dyzv2*
钉在	dyia1dyza1
点在	dyia2*dyza2*
电影制片厂	dyic1dyzc1
点正	dyif1dyzf1
钉子户	dyih1dyzh1
得意之作	dyii1dyzz1
地缘政治	dyii2dyzz2
钉住	dyij1dyzj1
打鸭子上架	dyij2dyzj2
点招	dyik1dyzk1
点着	dyim1dyzm1
多云转晴	dyiq1dyzq1
大禹治水	dyis1dyzs1
得意之色	dyis2dyzs2
点赞	dyit1dyzt1
大雅之堂	dyit2dyzt2
点种	dyit4*dyzt4*
点子	dyiv1dyzv1
钉子	dyiv3*dyz3dyzv3*
督阵	dyiv4*dyzv4*
